1-8-8-6	august
1-8-8-7	auntie
1-8-8-8	aunts
1-8-8-9	aural
1-8-8-10	aureus
1-8-8-11	auric
1-8-8-12	aurora
1-8-9-1	ausbau
1-8-9-2	aushub
1-8-9-3	ausruf
1-8-9-4	aussen
1-8-9-5	ausser
1-8-9-6	aussi
1-8-9-7	austen
1-8-9-8	auster
1-8-9-9	austin
1-8-9-10	austria
1-8-9-11	austro
1-8-9-12	ausweg
1-8-10-1	auszug
1-8-10-2	autark
1-8-10-3	author
1-8-10-4	autism
1-8-10-5	autistic
1-8-10-6	autocrat
1-8-10-7	autonomy
1-8-10-8	autopsy
1-8-10-9	autor
1-8-10-10	autre
1-8-10-11	autsch
1-8-10-12	autumn
1-8-11-1	aux
1-8-11-2	avail
1-8-11-3	avare
1-8-11-4	avarice
1-8-11-5	avarua
1-8-11-6	avatar
1-8-11-7	avenge
1-8-11-8	avenue
1-8-11-9	average
1-8-11-10	averred
1-8-11-11	averse
1-8-11-12	aversion
1-8-12-1	avert
1-8-12-2	avian
1-8-12-3	aviary
1-8-12-4	aviastre
1-8-12-5	aviate
1-8-12-6	aviation
1-8-12-7	aviator
1-8-12-8	aviau
1-8-12-9	avidly
1-8-12-10	avidolar
1-8-12-11	avocado
1-8-12-12	avoid
1-9-1-1	avoue
1-9-1-2	avowal
1-9-1-3	avowed
1-9-1-4	avulsed
1-9-1-5	await
1-9-1-6	awake
1-9-1-7	award
1-9-1-8	aware
1-9-1-9	awash
1-9-1-10	awed
1-9-1-11	awesome
1-9-1-12	awful
1-9-2-1	awhile
1-9-2-2	awkward
1-9-2-3	awning
1-9-2-4	awoke
1-9-2-5	axial
1-9-2-6	axilla
1-9-2-7	axiom
1-9-2-8	axles
1-9-2-9	axons
1-9-2-10	aylmer
1-9-2-11	azalea
1-9-2-12	azetat
1-9-3-1	azeton
1-9-3-2	azido
1-9-3-3	azimut
1-9-3-4	azina
1-9-3-5	azoic
1-9-3-6	azoren
1-9-3-7	aztec
1-9-3-8	azteke
1-9-3-9	azure
1-9-3-10	babble
